ds;y
2022-7-12 19:0:0;5
2022-7-12 19:20:0;2
2022-7-12 19:30:0;3
2022-7-12 19:40:0;1
2022-7-12 19:44:0;1
2022-7-12 19:50:0;1
2022-7-12 2:0:0;6
2022-7-12 20:0:0;5
2022-7-12 20:10:0;1
2022-7-12 20:40:0;3
2022-7-12 20:50:0;3
2022-7-12 21:10:0;4
2022-7-12 21:50:0;1
2022-7-12 22:0:0;2
2022-7-12 22:10:0;1
2022-7-12 22:30:0;1
2022-7-12 22:50:0;1
2022-7-12 22:7:0;1
2022-7-12 23:30:0;2
2022-7-12 4:20:0;1
2022-7-12 4:30:0;1
2022-7-12 4:50:0;1
2022-7-12 5:0:0;3
2022-7-12 6:0:0;2
2022-7-12 6:10:0;1
2022-7-12 6:20:0;1
2022-7-12 6:30:0;1
2022-7-12 6:40:0;1
2022-7-12 7:0:0;2
2022-7-12 7:10:0;3
2022-7-12 7:30:0;5
2022-7-12 7:40:0;2
2022-7-12 7:50:0;1
2022-7-12 8:0:0;6
2022-7-12 8:20:0;3
2022-7-12 8:30:0;6
2022-7-12 8:40:0;1
2022-7-12 8:50:0;2
2022-7-12 9:0:0;4
2022-7-12 9:10:0;1
2022-7-12 9:20:0;2
2022-7-12 9:30:0;4
2022-7-12 9:40:0;1
2022-7-12 9:50:0;3
2022-7-13 0:10:0;1
2022-7-13 0:40:0;1
2022-7-13 0:50:0;7
2022-7-13 1:0:0;1
2022-7-13 1:10:0;1
2022-7-13 1:30:0;1
2022-7-13 10:0:0;5
2022-7-13 10:20:0;2
2022-7-13 10:30:0;1
2022-7-13 11:0:0;3
2022-7-13 11:10:0;3
2022-7-13 11:30:0;5
2022-7-13 11:50:0;1
2022-7-13 12:0:0;1
2022-7-13 12:10:0;2
2022-7-13 12:30:0;5
2022-7-13 12:50:0;2
2022-7-13 13:0:0;2
2022-7-13 13:10:0;2
2022-7-13 13:20:0;2
2022-7-13 13:30:0;1
2022-7-13 13:50:0;1
2022-7-13 14:0:0;8
2022-7-13 14:10:0;2
2022-7-13 14:20:0;2
2022-7-13 14:30:0;6
2022-7-13 14:40:0;1
2022-7-13 15:0:0;4
2022-7-13 15:10:0;2
2022-7-13 15:20:0;1
2022-7-13 15:30:0;2
2022-7-13 15:50:0;3
2022-7-13 16:0:0;2
2022-7-13 16:10:0;1
2022-7-13 16:20:0;2
2022-7-13 16:30:0;2
2022-7-13 16:40:0;3
2022-7-13 16:50:0;2
2022-7-13 17:0:0;9
2022-7-13 17:10:0;4
2022-7-13 17:20:0;4
2022-7-13 17:30:0;9
2022-7-13 18:0:0;14
2022-7-13 18:10:0;2
2022-7-13 18:20:0;1
2022-7-13 18:30:0;1
2022-7-13 19:0:0;1
2022-7-13 19:10:0;1
2022-7-13 19:20:0;2
2022-7-13 19:30:0;3
2022-7-13 19:40:0;2
2022-7-13 19:43:0;1
2022-7-13 2:0:0;6
2022-7-13 20:10:0;2
2022-7-13 20:50:0;2
2022-7-13 21:0:0;4
2022-7-13 21:10:0;3
2022-7-13 21:20:0;1
2022-7-13 21:50:0;1
2022-7-13 22:0:0;1
2022-7-13 22:10:0;2
2022-7-13 22:50:0;1
2022-7-13 23:0:0;1
2022-7-13 3:20:0;1
2022-7-13 4:20:0;1
2022-7-13 4:30:0;2
2022-7-13 4:40:0;1
2022-7-13 4:50:0;1
2022-7-13 5:0:0;3
2022-7-13 5:10:0;2
2022-7-13 5:50:0;1
2022-7-13 6:0:0;4
2022-7-13 6:10:0;2
2022-7-13 6:20:0;1
2022-7-13 6:30:0;3
2022-7-13 6:40:0;3
2022-7-13 7:0:0;4
2022-7-13 7:10:0;2
2022-7-13 7:20:0;1
2022-7-13 7:30:0;1
2022-7-13 7:40:0;2
2022-7-13 7:50:0;4
2022-7-13 8:0:0;6
2022-7-13 8:10:0;1
2022-7-13 8:20:0;1
2022-7-13 8:30:0;2
2022-7-13 8:40:0;2
2022-7-13 9:10:0;1
2022-7-13 9:20:0;2
2022-7-13 9:30:0;4
2022-7-13 9:40:0;2
2022-7-13 9:50:0;2
2022-7-14 0:0:0;1
2022-7-14 0:10:0;1
2022-7-14 0:50:0;7
2022-7-14 1:0:0;1
2022-7-14 1:30:0;1
2022-7-14 10:0:0;4
2022-7-14 10:10:0;1
2022-7-14 10:20:0;2
2022-7-14 10:30:0;2
2022-7-14 10:40:0;4
2022-7-14 10:50:0;1
2022-7-14 11:0:0;3
2022-7-14 11:20:0;2
2022-7-14 11:30:0;2
2022-7-14 11:40:0;2
2022-7-14 11:50:0;3
2022-7-14 12:0:0;2
2022-7-14 12:20:0;1
2022-7-14 12:30:0;3
2022-7-14 12:40:0;1
2022-7-14 13:0:0;4
2022-7-14 13:10:0;2
2022-7-14 13:20:0;3
2022-7-14 13:30:0;2
2022-7-14 13:40:0;1
2022-7-14 13:50:0;2
2022-7-14 14:0:0;9
2022-7-14 14:10:0;2
2022-7-14 14:30:0;4
2022-7-14 14:40:0;1
2022-7-14 15:0:0;4
2022-7-14 15:10:0;4
2022-7-14 15:30:0;2
2022-7-14 15:50:0;1
2022-7-14 16:0:0;6
2022-7-14 16:20:0;2
2022-7-14 16:30:0;1
2022-7-14 16:40:0;2
2022-7-14 16:50:0;1
2022-7-14 17:0:0;8
2022-7-14 17:10:0;8
2022-7-14 17:20:0;3
2022-7-14 17:29:0;1
2022-7-14 17:30:0;11
2022-7-14 17:40:0;2
2022-7-14 17:50:0;2
2022-7-14 18:0:0;17
2022-7-14 18:10:0;2
2022-7-14 18:30:0;4
2022-7-14 18:40:0;2
2022-7-14 18:50:0;1
2022-7-14 19:0:0;2
2022-7-14 19:20:0;3
2022-7-14 19:30:0;3
2022-7-14 19:50:0;2
2022-7-14 2:0:0;4
2022-7-14 2:30:0;1
2022-7-14 20:0:0;4
2022-7-14 20:10:0;1
2022-7-14 20:30:0;1
2022-7-14 20:50:0;2
2022-7-14 21:0:0;1
