FECHA;TIME;y
2022-07-08;15:00:00;1
2022-07-08;15:10:00;1
2022-07-08;15:20:00;2
2022-07-08;15:40:00;1
2022-07-08;16:00:00;2
2022-07-08;16:30:00;1
2022-07-08;18:00:00;1
2022-07-08;18:20:00;1
2022-07-08;18:30:00;1
2022-07-08;21:30:00;1
2022-07-08;22:30:00;1
2022-07-09;00:50:00;1
2022-07-09;13:50:00;1
2022-07-11;07:10:00;1
2022-07-11;07:20:00;1
2022-07-11;07:30:00;1
2022-07-11;07:40:00;1
2022-07-11;07:50:00;1
2022-07-11;08:00:00;2
2022-07-11;08:20:00;3
2022-07-11;08:40:00;2
2022-07-11;08:50:00;1
2022-07-11;09:10:00;2
2022-07-11;09:20:00;1
2022-07-11;09:40:00;2
2022-07-11;09:50:00;1
2022-07-11;10:10:00;1
2022-07-11;10:30:00;2
2022-07-11;10:40:00;1
2022-07-11;10:50:00;1
2022-07-11;11:10:00;3
2022-07-11;11:30:00;1
2022-07-11;11:50:00;1
2022-07-11;12:00:00;2
2022-07-11;12:30:00;1
2022-07-11;12:40:00;1
2022-07-11;12:50:00;1
2022-07-11;13:00:00;1
2022-07-11;13:50:00;1
2022-07-11;14:10:00;1
2022-07-11;14:30:00;1
2022-07-11;15:00:00;1
2022-07-11;15:10:00;1
2022-07-11;15:20:00;2
2022-07-11;15:30:00;1
2022-07-11;15:40:00;1
2022-07-11;15:50:00;1
2022-07-11;16:00:00;1
2022-07-11;16:30:00;1
2022-07-11;16:40:00;1
2022-07-11;16:50:00;1
2022-07-11;17:00:00;3
2022-07-11;17:30:00;1
2022-07-11;17:40:00;1
2022-07-11;17:50:00;1
2022-07-11;18:00:00;2
2022-07-11;18:10:00;2
2022-07-11;18:20:00;1
2022-07-11;18:40:00;1
2022-07-11;18:50:00;2
2022-07-11;19:00:00;1
2022-07-11;19:10:00;1
2022-07-11;19:40:00;1
2022-07-11;20:10:00;1
2022-07-11;20:30:00;1
2022-07-11;20:50:00;1
2022-07-11;21:50:00;2
2022-07-12;07:10:00;1
2022-07-12;08:20:00;1
2022-07-12;08:50:00;2
2022-07-12;09:00:00;1
2022-07-12;09:10:00;1
2022-07-12;09:30:00;1
2022-07-12;09:40:00;1
2022-07-12;09:50:00;3
2022-07-12;10:00:00;1
2022-07-12;10:10:00;2
2022-07-12;10:20:00;1
2022-07-12;10:30:00;1
2022-07-12;10:40:00;1
2022-07-12;11:00:00;1
2022-07-12;11:10:00;1
2022-07-12;11:20:00;1
2022-07-12;11:30:00;1
2022-07-12;11:50:00;1
2022-07-12;12:20:00;1
2022-07-12;12:30:00;1
2022-07-12;13:00:00;2
2022-07-12;13:30:00;1
2022-07-12;14:00:00;1
2022-07-12;14:20:00;1
2022-07-12;14:40:00;1
2022-07-12;15:00:00;1
2022-07-12;15:30:00;1
2022-07-12;15:40:00;1
2022-07-12;15:50:00;1
2022-07-12;16:00:00;2
2022-07-12;16:20:00;1
2022-07-12;16:30:00;1
2022-07-12;16:50:00;2
2022-07-12;17:00:00;2
2022-07-12;17:40:00;3
2022-07-12;17:50:00;1
2022-07-12;18:00:00;2
2022-07-12;18:10:00;1
2022-07-12;18:20:00;2
2022-07-12;18:40:00;1
2022-07-12;18:50:00;1
2022-07-12;19:00:00;1
2022-07-12;19:20:00;2
2022-07-12;19:30:00;1
2022-07-12;19:40:00;2
2022-07-12;20:10:00;1
2022-07-12;20:40:00;1
2022-07-12;22:00:00;1
